Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.497,60.497,screen dark,11.209368136
0,23.292,23.292,wifi radio,6.319895223600001
23.292,43.95,20.658,wifi running,0.28527045360000003
43.95,60.497,16.546999999999997,wifi radio,4.4897521151
0.0,9.12604199999987,9.12604199999987,core 0 cpu_idle start,0.13958281238999803
9.12604199999987,68.55400000000009,59.42795800000022,core 0 cpu_idle,0.9089506176100034
0.0,9.128185000001395,9.128185000001395,core 1 cpu_idle start,0.13961558957502135
9.128185000001395,68.55400000000009,59.42581499999869,core 1 cpu_idle,0.90891784042498
0.0,9.126040999999532,9.126040999999532,core 2 cpu_idle start,0.13958279709499286
9.126040999999532,68.55400000000009,59.427959000000556,core 2 cpu_idle,0.9089506329050085
0.0,9.129841999998462,9.129841999998462,core 3 cpu_idle start,0.1396409333899765
9.129841999998462,68.55400000000009,59.424158000001626,core 3 cpu_idle,0.9088924966100249
0.0,9.131126000000222,9.131126000000222,core 4 cpu_idle start,0.1396605721700034
9.131126000000222,68.55400000000009,59.422873999999865,core 4 cpu_idle,0.908872857829998
0.0,9.131601000000956,9.131601000000956,core 5 cpu_idle start,0.1396678372950146
9.131601000000956,68.55400000000009,59.42239899999913,core 5 cpu_idle,0.9088655927049868
0.0,9.131852999998955,9.131852999998955,core 6 cpu_idle start,0.13967169163498402
9.131852999998955,68.55400000000009,59.42214700000113,core 6 cpu_idle,0.9088617383650174
0.0,9.131086000001233,9.131086000001233,core 7 cpu_idle start,0.13965996037001888
9.131086000001233,68.55400000000009,59.422913999998855,core 7 cpu_idle,0.9088734696299826
