Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.566,60.566,screen dark,11.222153008000001
0,3.739,3.739,wifi running,0.0516325988
3.739,8.439,4.7,wifi scan,1.0700819000000001
8.439,26.629,18.19,wifi radio,4.935552727000001
26.629,43.243,16.614,wifi running,0.22942604880000003
43.243,60.566,17.323,wifi radio,4.700306755900001
0.0,8.974960999999894,8.974960999999894,core 0 cpu_idle start,0.1372720284949984
8.974960999999894,68.5669999999991,59.592038999999204,core 0 cpu_idle,0.9114602365049879
0.0,8.977668999999878,8.977668999999878,core 1 cpu_idle start,0.13731344735499815
8.977668999999878,68.5669999999991,59.58933099999922,core 1 cpu_idle,0.9114188176449881
0.0,8.974905999999464,8.974905999999464,core 2 cpu_idle start,0.13727118726999182
8.974905999999464,68.5669999999991,59.59209399999963,core 2 cpu_idle,0.9114610777299945
0.0,8.978222999998252,8.978222999998252,core 3 cpu_idle start,0.13732192078497327
8.978222999998252,68.5669999999991,59.588777000000846,core 3 cpu_idle,0.911410344215013
0.0,8.979648000000452,8.979648000000452,core 4 cpu_idle start,0.13734371616000693
8.979648000000452,68.5669999999991,59.587351999998646,core 4 cpu_idle,0.9113885488399793
0.0,8.980193999999756,8.980193999999756,core 5 cpu_idle start,0.13735206722999627
8.980193999999756,68.5669999999991,59.58680599999934,core 5 cpu_idle,0.91138019776999
0.0,8.99648199999865,8.99648199999865,core 6 cpu_idle start,0.13760119218997938
8.99648199999865,68.5669999999991,59.57051800000045,core 6 cpu_idle,0.9111310728100069
0.0,8.975275000000693,8.975275000000693,core 7 cpu_idle start,0.1372768311250106
8.975275000000693,68.5669999999991,59.591724999998405,core 7 cpu_idle,0.9114554338749756
