Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.621,60.621,screen dark,11.1475229448
0,18.914,18.914,wifi radio,5.09324381762
18.914,31.278,12.363999999999997,wifi running,0.16944763087999995
31.278,47.932,16.654000000000003,wifi radio,4.484661231820001
47.932,52.604,4.671999999999997,wifi running,0.06402938623999996
52.604,57.318,4.713999999999999,wifi scan,1.0651645977999997
57.318,58.701,1.3830000000000027,wifi running,0.018953904360000034
58.701,60.621,1.9200000000000017,wifi radio,0.5170259136000005
0.0,9.27094699999725,9.27094699999725,core 0 cpu_idle start,0.14072833998645826
9.27094699999725,68.55100000000675,59.2800530000095,core 0 cpu_idle,0.8998415645136443
0.0,9.269252999991295,9.269252999991295,core 1 cpu_idle start,0.14070262591336785
9.269252999991295,68.55100000000675,59.28174700001546,core 1 cpu_idle,0.8998672785867347
0.0,9.270953999992344,9.270953999992344,core 2 cpu_idle start,0.14072844624288378
9.270953999992344,68.55100000000675,59.28004600001441,core 2 cpu_idle,0.8998414582572187
0.0,9.270255999988876,9.270255999988876,core 3 cpu_idle start,0.14071785095183115
9.270255999988876,68.55100000000675,59.280744000017876,core 3 cpu_idle,0.8998520535482714
0.0,9.279126999987056,9.279126999987056,core 4 cpu_idle start,0.14085250829630352
9.279126999987056,68.55100000000675,59.271873000019696,core 4 cpu_idle,0.899717396203799
0.0,9.281743999992614,9.281743999992614,core 5 cpu_idle start,0.1408922330478879
9.281743999992614,68.55100000000675,59.26925600001414,core 5 cpu_idle,0.8996776714522147
0.0,9.269068999987212,9.269068999987212,core 6 cpu_idle start,0.14069983288530588
9.269068999987212,68.55100000000675,59.28193100001954,core 6 cpu_idle,0.8998700716147966
0.0,9.271113999988302,9.271113999988302,core 7 cpu_idle start,0.14073087496282244
9.271113999988302,68.55100000000675,59.27988600001845,core 7 cpu_idle,0.8998390295372801
