Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.543,60.543,screen dark,11.217891384
0,60.543,60.543,wifi running,0.8360503956
0.0,9.195552999997744,9.195552999997744,core 0 cpu_idle start,0.1406459831349655
9.195552999997744,68.55800000000454,59.362447000006796,core 0 cpu_idle,0.907948626865104
0.0,9.193900999998732,9.193900999998732,core 1 cpu_idle start,0.14062071579498062
9.193900999998732,68.55800000000454,59.36409900000581,core 1 cpu_idle,0.9079738942050889
0.0,9.195547000002989,9.195547000002989,core 2 cpu_idle start,0.14064589136504574
9.195547000002989,68.55800000000454,59.36245300000155,core 2 cpu_idle,0.9079487186350238
0.0,9.19567900000402,9.19567900000402,core 3 cpu_idle start,0.1406479103050615
9.19567900000402,68.55800000000454,59.36232100000052,core 3 cpu_idle,0.9079466996950081
0.0,9.194149000002653,9.194149000002653,core 4 cpu_idle start,0.14062450895504058
9.194149000002653,68.55800000000454,59.36385100000189,core 4 cpu_idle,0.907970101045029
0.0,9.194062000002305,9.194062000002305,core 5 cpu_idle start,0.14062317829003526
9.194062000002305,68.55800000000454,59.363938000002236,core 5 cpu_idle,0.9079714317100342
0.0,9.197308000002522,9.197308000002522,core 6 cpu_idle start,0.1406728258600386
9.197308000002522,68.55800000000454,59.36069200000202,core 6 cpu_idle,0.907921784140031
0.0,9.19386300000042,9.19386300000042,core 7 cpu_idle start,0.14062013458500644
9.19386300000042,68.55800000000454,59.36413700000412,core 7 cpu_idle,0.9079744754150632
