Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.519,60.519,screen dark,11.1287662872
0,55.959,55.959,wifi radio,15.068881822470003
55.959,60.519,4.559999999999995,wifi running,0.06249443519999993
0.0,9.006943000014871,9.006943000014871,core 0 cpu_idle start,0.13672089126872575
9.006943000014871,68.56100000001607,59.554057000001194,core 0 cpu_idle,0.9040008082315182
0.0,9.005092000006698,9.005092000006698,core 1 cpu_idle start,0.13669279401410167
9.005092000006698,68.56100000001607,59.55590800000937,core 1 cpu_idle,0.9040289054861422
0.0,9.004974000010407,9.004974000010407,core 2 cpu_idle start,0.13669100283315797
9.004974000010407,68.56100000001607,59.55602600000566,core 2 cpu_idle,0.9040306966670859
0.0,9.013930000015534,9.013930000015534,core 3 cpu_idle start,0.1368269504352358
9.013930000015534,68.56100000001607,59.54707000000053,core 3 cpu_idle,0.9038947490650081
0.0,9.006131000001915,9.006131000001915,core 4 cpu_idle start,0.13670856551452906
9.006131000001915,68.56100000001607,59.55486900001415,core 4 cpu_idle,0.9040131339857148
0.0,9.006387000001268,9.006387000001268,core 5 cpu_idle start,0.13671245146651925
9.006387000001268,68.56100000001607,59.5546130000148,core 5 cpu_idle,0.9040092480337246
0.0,9.006546000018716,9.006546000018716,core 6 cpu_idle start,0.1367148650072841
9.006546000018716,68.56100000001607,59.55445399999735,core 6 cpu_idle,0.9040068344929598
0.0,9.012463999999454,9.012463999999454,core 7 cpu_idle start,0.13680469728799172
9.012463999999454,68.56100000001607,59.54853600001661,core 7 cpu_idle,0.9039170022122521
