Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.616,60.616,screen dark,11.231417408
0,29.611,29.611,wifi radio,8.034450346300002
29.611,29.722,0.11100000000000065,wifi running,0.0015328212000000091
29.722,40.518,10.796,wifi running,0.1490841232
40.518,45.294,4.775999999999996,wifi scan,1.0873853519999992
45.294,46.682,1.3880000000000052,wifi radio,0.3766106204000015
46.682,58.959,12.277000000000001,wifi running,0.1695355484
58.959,60.616,1.6569999999999965,wifi radio,0.4495992780999991
0.0,9.00156600000264,9.00156600000264,core 0 cpu_idle start,0.1376789519700404
9.00156600000264,68.56200000000172,59.56043399999908,core 0 cpu_idle,0.910976838029986
0.0,9.000906000001123,9.000906000001123,core 1 cpu_idle start,0.13766885727001718
9.000906000001123,68.56200000000172,59.561094000000594,core 1 cpu_idle,0.9109869327300092
0.0,9.003390000001673,9.003390000001673,core 2 cpu_idle start,0.1377068500500256
9.003390000001673,68.56200000000172,59.558610000000044,core 2 cpu_idle,0.9109489399500007
0.0,9.002140000000509,9.002140000000509,core 3 cpu_idle start,0.1376877313000078
9.002140000000509,68.56200000000172,59.55986000000121,core 3 cpu_idle,0.9109680587000185
0.0,9.005865999999514,9.005865999999514,core 4 cpu_idle start,0.1377447204699926
9.005865999999514,68.56200000000172,59.5561340000022,core 4 cpu_idle,0.9109110695300338
0.0,9.000973000001977,9.000973000001977,core 5 cpu_idle start,0.13766988203503025
9.000973000001977,68.56200000000172,59.56102699999974,core 5 cpu_idle,0.9109859079649961
0.0,9.005605000002106,9.005605000002106,core 6 cpu_idle start,0.13774072847503221
9.005605000002106,68.56200000000172,59.55639499999961,core 6 cpu_idle,0.9109150615249941
0.0,9.00608800000191,9.00608800000191,core 7 cpu_idle start,0.13774811596002923
9.00608800000191,68.56200000000172,59.55591199999981,core 7 cpu_idle,0.9109076740399972
