Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.542,60.542,screen dark,11.1329957296
0,22.896,22.896,wifi radio,6.165534019680001
22.896,32.857,9.960999999999999,wifi running,0.13651470811999997
32.857,60.542,27.685000000000002,wifi radio,7.455136676050001
0.0,9.270995999977458,9.270995999977458,core 0 cpu_idle start,0.14072908378165783
9.270995999977458,69.55099999997765,60.28000400000019,core 0 cpu_idle,0.9150203207180029
0.0,9.275835999986157,9.275835999986157,core 1 cpu_idle start,0.14080255256178986
9.275835999986157,69.55099999997765,60.27516399999149,core 1 cpu_idle,0.9149468519378708
0.0,9.273004999995464,9.273004999995464,core 2 cpu_idle start,0.14075957939743117
9.273004999995464,69.55099999997765,60.277994999982184,core 2 cpu_idle,0.9149898251022296
0.0,9.2747719999752,9.2747719999752,core 3 cpu_idle start,0.14078640157362357
9.2747719999752,69.55099999997765,60.27622800000245,core 3 cpu_idle,0.9149630029260372
0.0,9.269896999991033,9.269896999991033,core 4 cpu_idle start,0.14071240151136388
9.269896999991033,69.55099999997765,60.281102999986615,core 4 cpu_idle,0.9150370029882968
0.0,9.27006199999596,9.27006199999596,core 5 cpu_idle start,0.14071490612893867
9.27006199999596,69.55099999997765,60.28093799998169,core 5 cpu_idle,0.915034498370722
0.0,9.270426999981282,9.270426999981282,core 6 cpu_idle start,0.14072044664621589
9.270426999981282,69.55099999997765,60.280572999996366,core 6 cpu_idle,0.9150289578534448
0.0,9.271796999993967,9.271796999993967,core 7 cpu_idle start,0.14074124256140844
9.271796999993967,69.55099999997765,60.27920299998368,core 7 cpu_idle,0.9150081619382523
