Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.66,60.66,screen dark,11.144406671999999
0,16.881,16.881,wifi radio,4.541596209570001
16.881,39.855,22.973999999999997,wifi running,0.31456644072
39.855,60.66,20.805,wifi radio,5.59729335585
0.0,9.387411999996402,9.387411999996402,core 0 cpu_idle start,0.14236479668594543
9.387411999996402,69.55799999998999,60.170587999993586,core 0 cpu_idle,0.9125170523139028
0.0,9.377835000006598,9.377835000006598,core 1 cpu_idle start,0.14221955669260006
9.377835000006598,69.55799999998999,60.18016499998339,core 1 cpu_idle,0.9126622923072482
0.0,9.383912999997847,9.383912999997847,core 2 cpu_idle start,0.14231173260146734
9.383912999997847,69.55799999998999,60.17408699999214,core 2 cpu_idle,0.9125701163983808
0.0,9.378574000002118,9.378574000002118,core 3 cpu_idle start,0.1422307639970321
9.378574000002118,69.55799999998999,60.17942599998787,core 3 cpu_idle,0.9126510850028161
0.0,9.497180000005756,9.497180000005756,core 4 cpu_idle start,0.1440294832900873
9.497180000005756,69.55799999998999,60.06081999998423,core 4 cpu_idle,0.9108523657097609
0.0,9.498795000006794,9.498795000006794,core 5 cpu_idle start,0.14405397557260305
9.498795000006794,69.55799999998999,60.059204999983194,core 5 cpu_idle,0.9108278734272451
0.0,9.787504000007175,9.787504000007175,core 6 cpu_idle start,0.1484323919121088
9.787504000007175,69.55799999998999,59.77049599998281,core 6 cpu_idle,0.9064494570877394
0.0,9.557551000005333,9.557551000005333,core 7 cpu_idle start,0.14494503969058087
9.557551000005333,69.55799999998999,60.000448999984656,core 7 cpu_idle,0.9099368093092673
