Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.625,60.625,screen dark,11.148258499999999
0,36.178,36.178,wifi running,0.4958165957599999
36.178,40.553,4.375,wifi radio,1.1781189437500001
40.553,41.109,0.5560000000000045,wifi running,0.007619935520000061
41.109,57.628,16.519,wifi radio,4.44830784727
57.628,60.625,2.997,wifi running,0.04107364524
0.0,9.086799999990035,9.086799999990035,core 0 cpu_idle start,0.13793308059984874
9.086799999990035,68.5450000000128,59.45820000002277,core 0 cpu_idle,0.9025457469003456
0.0,9.08620200000587,9.08620200000587,core 1 cpu_idle start,0.1379240032590891
9.08620200000587,68.5450000000128,59.45879800000694,core 1 cpu_idle,0.9025548242411053
0.0,9.086734000011347,9.086734000011347,core 2 cpu_idle start,0.13793207875317226
9.086734000011347,68.5450000000128,59.45826600000146,core 2 cpu_idle,0.9025467487470221
0.0,9.09644500000286,9.09644500000286,core 3 cpu_idle start,0.1380794868775434
9.09644500000286,68.5450000000128,59.44855500000995,core 3 cpu_idle,0.902399340622651
0.0,9.106148999999277,9.106148999999277,core 4 cpu_idle start,0.13822678874548902
9.106148999999277,68.5450000000128,59.43885100001353,core 4 cpu_idle,0.9022520387547054
0.0,9.086802000005264,9.086802000005264,core 5 cpu_idle start,0.1379331109590799
9.086802000005264,68.5450000000128,59.45819800000754,core 5 cpu_idle,0.9025457165411145
0.0,9.091378999990411,9.091378999990411,core 6 cpu_idle start,0.13800258753035444
9.091378999990411,68.5450000000128,59.453621000022395,core 6 cpu_idle,0.9024762399698399
0.0,9.097402999992482,9.097402999992482,core 7 cpu_idle start,0.1380940288383859
9.097402999992482,68.5450000000128,59.44759700002032,core 7 cpu_idle,0.9023847986618085
