Subject,Treatment,Average,StdDev
https-ae-godaddy-com,cluttered,54.64248,1.3278226945320248
https-duckduckgo-com,cluttered,48.234312,0.803938844753043
https-fc2-com,cluttered,48.066504,1.615190916043231
https-kakaku-com,cluttered,58.5786936,3.4483412983181365
https-missouri-edu,cluttered,50.331912,1.0443330875539667
https-pixabay-com,cluttered,49.13628,0.35009907234544946
https-steamcommunity-com,cluttered,50.43612,0.7702230705243778
https-store-steampowered-com,cluttered,49.776048,2.729270446744749
https-telegram-org,cluttered,48.496512,0.5061789262870819
https-utk-edu,cluttered,48.276264000000005,0.7057307432806286
https-www-booking-com,cluttered,52.80708,0.7745209715135445
https-www-colorado-edu,cluttered,48.937008,0.34398630045811046
https-www-homedepot-com,cluttered,55.827624,0.7132060332730946
https-www-indeed-ae,cluttered,49.534824,2.008409945848421
https-www-ltn-com-tw,cluttered,63.9758784,2.184521633967125
https-www-mdpi-com,cluttered,53.216112,0.7245183622162855
https-www-netflix-com,cluttered,47.7947232,1.522439226880863
https-www-nih-gov,cluttered,49.104816,0.557374368532626
https-www-office-com,cluttered,50.55216,0.8102180011400806
https-www-osha-gov,cluttered,48.402120000000004,0.805842354380983
https-www-raspberrypi-org,cluttered,54.873216,1.8635235378666015
https-www-researchgate-net,cluttered,48.9490344,1.9133639848952952
https-www-sindonews-com,cluttered,56.00592,4.456827089232234
https-www-thetimes-co-uk,cluttered,57.1956,1.4794405611906158
https-www-tistory-com,cluttered,67.5220056,2.7362235558562085
https-www-ucsc-edu,cluttered,50.845824,2.3252361295170503
https-www-worldbank-org,cluttered,50.4985152,1.409410885597811
https-www-yelp-com,cluttered,49.188216000000004,0.3759771554336783
https-ae-godaddy-com,de-cluttered,55.0313256,2.427314051017969
https-duckduckgo-com,de-cluttered,48.3072408,0.35308918561325064
https-fc2-com,de-cluttered,47.4329016,2.5349221477919994
https-kakaku-com,de-cluttered,57.1651296,3.912152311615635
https-missouri-edu,de-cluttered,51.1384344,0.32785949748129045
https-pixabay-com,de-cluttered,48.6195048,1.0830012161715374
https-steamcommunity-com,de-cluttered,49.754064,0.5030492691212537
https-store-steampowered-com,de-cluttered,50.992711199999995,1.6906806291642777
https-telegram-org,de-cluttered,48.0990648,1.8307782809200184
https-utk-edu,de-cluttered,47.516172,2.459241263353975
https-www-booking-com,de-cluttered,53.6989992,2.5583515201067373
https-www-colorado-edu,de-cluttered,48.838089599999996,1.2010136688778954
https-www-homedepot-com,de-cluttered,55.2603192,0.6817565355884756
https-www-indeed-ae,de-cluttered,49.8165168,2.422718674393092
https-www-ltn-com-tw,de-cluttered,66.7516344,1.3167381785321335
https-www-mdpi-com,de-cluttered,53.4908232,2.308129816181898
https-www-netflix-com,de-cluttered,48.994221599999996,1.8419038918335404
https-www-nih-gov,de-cluttered,49.2232152,0.30927575901016674
https-www-office-com,de-cluttered,51.4506984,0.5531653630036611
https-www-osha-gov,de-cluttered,49.316894399999995,0.5207373093644379
https-www-raspberrypi-org,de-cluttered,56.061796799999996,1.6358949809535541
https-www-researchgate-net,de-cluttered,48.671548800000004,2.848815677366178
https-www-sindonews-com,de-cluttered,56.3428344,5.3678103315525085
https-www-thetimes-co-uk,de-cluttered,55.4997216,3.3329528360007243
https-www-tistory-com,de-cluttered,67.9902816,4.369252435450722
https-www-ucsc-edu,de-cluttered,51.419472,0.6562498699611296
https-www-worldbank-org,de-cluttered,51.5860128,2.2173257048720143
https-www-yelp-com,de-cluttered,50.6284032,0.4512290691502176
