Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.587,60.587,screen dark,11.226044056000001
0,47.601,47.601,wifi running,0.6573317292
47.601,49.999,2.3980000000000032,wifi radio,0.650657253400001
49.999,52.313,2.314,wifi running,0.0319544888
52.313,60.587,8.274000000000001,wifi radio,2.2450117242000007
0.0,9.194024999997055,9.194024999997055,core 0 cpu_idle start,0.14062261237495496
9.194024999997055,68.55600000000413,59.36197500000708,core 0 cpu_idle,0.9079414076251083
0.0,9.198577000002842,9.198577000002842,core 1 cpu_idle start,0.14069223521504348
9.198577000002842,68.55600000000413,59.35742300000129,core 1 cpu_idle,0.9078717847850198
0.0,9.193857999998727,9.193857999998727,core 2 cpu_idle start,0.14062005810998054
9.193857999998727,68.55600000000413,59.362142000005406,core 2 cpu_idle,0.9079439618900828
0.0,9.194189000001643,9.194189000001643,core 3 cpu_idle start,0.14062512075502515
9.194189000001643,68.55600000000413,59.36181100000249,core 3 cpu_idle,0.9079388992450381
0.0,9.198129999997036,9.198129999997036,core 4 cpu_idle start,0.14068539834995467
9.198129999997036,68.55600000000413,59.3578700000071,core 4 cpu_idle,0.9078786216501086
0.0,9.202821999999287,9.202821999999287,core 5 cpu_idle start,0.1407571624899891
9.202821999999287,68.55600000000413,59.353178000004846,core 5 cpu_idle,0.9078068575100742
0.0,9.213301999996474,9.213301999996474,core 6 cpu_idle start,0.14091745408994608
9.213301999996474,68.55600000000413,59.34269800000766,core 6 cpu_idle,0.9076465659101172
0.0,9.194483999999647,9.194483999999647,core 7 cpu_idle start,0.14062963277999463
9.194483999999647,68.55600000000413,59.361516000004485,core 7 cpu_idle,0.9079343872200687
