Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.607,60.607,screen dark,11.1346695544
0,34.449,34.449,wifi running,0.47168535372000003
34.449,39.159,4.710000000000001,wifi scan,1.0632792030000002
39.159,47.416,8.256999999999998,wifi radio,2.2214300042899997
47.416,60.607,13.191000000000003,wifi running,0.18061486548000005
0.0,9.303897000005236,9.303897000005236,core 0 cpu_idle start,0.14109824995357942
9.303897000005236,68.55999999999767,59.256102999992436,core 0 cpu_idle,0.8986484300463853
0.0,9.300247000006493,9.300247000006493,core 1 cpu_idle start,0.14104289587859847
9.300247000006493,68.55999999999767,59.25975299999118,core 1 cpu_idle,0.8987037841213662
0.0,9.302884999997332,9.302884999997332,core 2 cpu_idle start,0.14108290246745953
9.302884999997332,68.55999999999767,59.25711500000034,core 2 cpu_idle,0.8986637775325051
0.0,9.300557000009576,9.300557000009576,core 3 cpu_idle start,0.14104759718364523
9.300557000009576,68.55999999999767,59.259442999988096,core 3 cpu_idle,0.8986990828163195
0.0,9.306232000002638,9.306232000002638,core 4 cpu_idle start,0.14113366139604
9.306232000002638,68.55999999999767,59.253767999995034,core 4 cpu_idle,0.8986130186039247
0.0,9.300838000010117,9.300838000010117,core 5 cpu_idle start,0.14105185868915343
9.300838000010117,68.55999999999767,59.259161999987555,core 5 cpu_idle,0.8986948213108112
0.0,9.306246000007377,9.306246000007377,core 6 cpu_idle start,0.14113387371311187
9.306246000007377,68.55999999999767,59.253753999990295,core 6 cpu_idle,0.8986128062868528
0.0,9.300067000003764,9.300067000003764,core 7 cpu_idle start,0.1410401660885571
9.300067000003764,68.55999999999767,59.25993299999391,core 7 cpu_idle,0.8987065139114077
