Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.603,60.603,screen dark,11.229008664
0,39.962,39.962,wifi radio,10.843021334600003
39.962,59.702,19.739999999999995,wifi running,0.27259360799999993
59.702,60.603,0.9010000000000034,wifi radio,0.24447130330000097
0.0,9.34958700000061,9.34958700000061,core 0 cpu_idle start,0.14300193316500937
9.34958700000061,68.56000000000131,59.2104130000007,core 0 cpu_idle,0.9056232668350108
0.0,9.348503000001074,9.348503000001074,core 1 cpu_idle start,0.14298535338501644
9.348503000001074,68.56000000000131,59.211497000000236,core 1 cpu_idle,0.9056398466150036
0.0,9.345980000001873,9.345980000001873,core 2 cpu_idle start,0.14294676410002866
9.345980000001873,68.56000000000131,59.21401999999944,core 2 cpu_idle,0.9056784358999914
0.0,9.348299000001134,9.348299000001134,core 3 cpu_idle start,0.14298223320501735
9.348299000001134,68.56000000000131,59.211701000000176,core 3 cpu_idle,0.9056429667950028
0.0,9.352959000003466,9.352959000003466,core 4 cpu_idle start,0.14305350790505303
9.352959000003466,68.56000000000131,59.207040999997844,core 4 cpu_idle,0.9055716920949671
0.0,9.353233000001637,9.353233000001637,core 5 cpu_idle start,0.14305769873502505
9.353233000001637,68.56000000000131,59.20676699999967,core 5 cpu_idle,0.9055675012649951
0.0,9.353199000001041,9.353199000001041,core 6 cpu_idle start,0.14305717870501594
9.353199000001041,68.56000000000131,59.20680100000027,core 6 cpu_idle,0.9055680212950041
0.0,9.34841900000174,9.34841900000174,core 7 cpu_idle start,0.14298406860502663
9.34841900000174,68.56000000000131,59.21158099999957,core 7 cpu_idle,0.9056411313949935
