Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.541,60.541,screen dark,11.132811840799999
0,23.637,23.637,wifi running,0.32394319404
23.637,28.281,4.643999999999998,wifi scan,1.0493475587999996
28.281,60.541,32.26,wifi running,0.44212071919999996
0.0,9.25260399999388,9.25260399999388,core 0 cpu_idle start,0.1404499024179071
9.25260399999388,68.5509999999922,59.29839599999832,core 0 cpu_idle,0.9001200020819745
0.0,9.253543999991962,9.253543999991962,core 1 cpu_idle start,0.140464171147878
9.253543999991962,68.5509999999922,59.29745600000024,core 1 cpu_idle,0.9001057333520036
0.0,9.252336999983527,9.252336999983527,core 2 cpu_idle start,0.14044584949124994
9.252336999983527,68.5509999999922,59.29866300000867,core 2 cpu_idle,0.9001240550086317
0.0,9.25210599998536,9.25210599998536,core 3 cpu_idle start,0.14044234302677777
9.25210599998536,68.5509999999922,59.29889400000684,core 3 cpu_idle,0.9001275614731038
0.0,9.2635459999874,9.2635459999874,core 4 cpu_idle start,0.14061599650680875
9.2635459999874,68.5509999999922,59.2874540000048,core 4 cpu_idle,0.8999539079930728
0.0,9.27234499999031,9.27234499999031,core 5 cpu_idle start,0.1407495609273529
9.27234499999031,68.5509999999922,59.27865500000189,core 5 cpu_idle,0.8998203435725287
0.0,9.26056699999026,9.26056699999026,core 6 cpu_idle start,0.14057077677635216
9.26056699999026,68.5509999999922,59.29043300000194,core 6 cpu_idle,0.8999991277235294
0.0,9.255787999994936,9.255787999994936,core 7 cpu_idle start,0.14049823394592315
9.255787999994936,68.5509999999922,59.295211999997264,core 7 cpu_idle,0.9000716705539585
